Unnamed: 0,meshcode,linkno,orflg,signcnt,signno,maxspeed,signkeido,signido,signpos,variable,existroad,exlinkno,geometry,Longitude,Latitude,X1,Y1
38,Z513243,20084,1,2,1,60,476846932,123678973,0,0,0,0,,132.45748111111112,34.35527027777778,4382.147979531321,-2489.0947691471665
39,Z513243,20084,1,2,2,60,476877110,123677315,0,0,0,0,,132.4658638888889,34.35480972222222,5151.78168292495,-2586.408606009616
40,Z513243,20087,1,1,1,40,476821033,123700188,0,0,0,0,,132.45028694444446,34.36116333333333,3758.195030676201,-1794.4833439392387
41,Z513243,20107,1,1,1,40,476715899,123745855,16,0,0,0,,132.42108305555556,34.373848611111114,1151.2179983492242,-223.16428365866886
42,Z513243,20191,1,1,1,60,476989721,123661257,0,0,0,0,,132.49714472222223,34.35034916666667,8005.670882253442,-3253.70563582037
43,Z513243,20193,1,1,1,60,476823240,123699631,0,0,0,0,,132.4509,34.36100861111111,3813.671613880899,-1815.0595721972059
44,Z513243,20195,1,1,1,40,476990633,123696249,0,0,1,20144,,132.49739805555555,34.36006916666667,8093.12721889175,-2174.8124549321074
45,Z513243,20244,1,1,1,40,476821046,123701591,0,0,0,0,,132.45029055555557,34.361553055555554,3761.118932524114,-1751.1882546305424
46,Z513243,20261,1,1,1,40,476707512,123750311,0,0,1,20207,,132.41875333333334,34.37508638888889,944.7922024753643,-72.67841992524336
47,Z513243,20292,1,3,1,60,476799873,123717683,0,0,0,0,,132.44440916666667,34.36602305555556,3248.784356532269,-1221.9328669813694
48,Z513243,20292,1,3,2,60,476730824,123739394,0,0,0,0,,132.42522888888888,34.372053888888885,1521.3009577646153,-445.6045010276139
49,Z513243,20292,1,3,3,60,476771598,123727360,0,0,0,0,,132.436555,34.36871111111111,2542.8211040134775,-879.7931879114476
50,Z513243,20338,1,1,1,40,476906003,123682082,0,0,0,0,,132.47388972222222,34.35613388888889,5900.335093940375,-2483.3403426234145
51,Z513243,20341,1,1,1,40,476828294,123695070,0,0,0,0,,132.45230388888888,34.359741666666665,3934.647545152693,-1963.6103338871617
52,Z513243,20359,1,1,1,60,476705521,123749898,0,0,0,0,,132.41820027777777,34.37497166666667,893.0576190295396,-82.36323097199784
53,Z513243,20384,1,1,1,40,476827681,123694141,0,0,0,0,,132.45213361111112,34.35948361111111,3917.2377665194217,-1991.3529321518436
54,Z513243,20419,1,1,1,40,476901469,123680831,0,0,1,20455,,132.47263027777777,34.35578638888889,5781.945795837557,-2515.0452609146596
55,Z513243,20525,1,1,1,60,476825770,123696039,0,0,0,0,,132.45160277777777,34.360010833333334,3871.814394348301,-1929.8298795601004
56,Z513243,20541,1,1,1,40,476711523,123747184,0,0,0,0,,132.4198675,34.37421777777778,1041.6631939624203,-175.3965566988627
57,Z513243,20554,1,1,1,30,476840475,123682876,16,0,0,0,,132.4556875,34.35635444444444,4224.020863551414,-2358.7195099437376
58,Z513243,20556,1,3,1,60,476802182,123716495,0,0,0,0,,132.44505055555555,34.36569305555555,3305.7015604268527,-1262.1500777105975
59,Z513243,20556,1,3,2,60,476775144,123726101,0,0,0,0,,132.43754,34.368361388888886,2631.2702949378872,-924.1061463082733
60,Z513243,20556,1,3,3,40,476736029,123736757,0,0,0,0,,132.42667472222223,34.37132138888889,1649.6571140299784,-535.0234104570409
61,Z513243,20583,1,1,1,40,476837463,123684515,16,0,1,20521,,132.45485083333332,34.35680972222222,4149.925559432362,-2303.5097898173262
62,Z513243,20743,1,1,1,60,476701018,123752268,0,0,0,0,,132.41694944444444,34.37563,782.1882511717267,-2.256832841783762
63,Z513243,20833,1,1,1,30,476834017,123689405,0,0,0,0,,132.4538936111111,34.35816805555555,4070.718815378379,-2147.2668229530973
64,Z513243,21086,1,1,1,60,476990790,123701283,0,0,0,0,,132.49744166666667,34.3614675,8106.370156378602,-2019.6405518115498
65,Z513243,21093,1,1,1,60,476751358,123904635,1,0,0,0,,132.43093277777777,34.41795416666667,2353.3838066087337,4624.394927963993
0,Z513244,3,1,1,1,40,477051975,123903812,0,0,0,0,,132.5144375,34.417725555555556,10043.094271796173,4139.959200451558
1,Z513244,5,1,2,1,40,477052549,123895064,0,0,0,0,,132.51459694444443,34.41529555555555,10041.774927568506,3869.022524240223
2,Z513244,5,1,2,2,40,477051997,123898585,0,0,0,0,,132.51444361111112,34.41627361111111,10034.093857883243,3978.5590168565686
3,Z513244,6,1,1,1,40,477053876,123894655,0,0,0,0,,132.51496555555556,34.41518194444444,10074.97785887774,3854.3840849017433
4,Z513244,10,1,1,1,60,477064547,123909249,0,0,0,0,,132.51792972222222,34.41923583333333,10374.679619924165,4288.752028867049
5,Z513244,12,1,1,1,60,477053018,123896400,0,0,0,0,,132.51472722222223,34.41566666666667,10056.218356676516,3909.556152157922
6,Z513244,15,1,1,1,60,477053000,123889082,0,0,0,0,,132.51472222222222,34.41363388888889,10042.370325185242,3683.6637449785485
7,Z513244,28,1,1,1,60,477020791,123617542,0,0,0,0,,132.5057752777778,34.33820611111111,8721.27401759522,-4650.445523302711
8,Z513244,43,1,1,1,60,476991272,123627840,0,0,0,0,,132.49757555555556,34.34106666666667,7984.182265167008,-4287.717131832789
9,Z513244,71,1,1,1,60,477014394,123620327,0,0,0,0,,132.50399833333333,34.33897972222222,8562.548392854747,-4554.762170282484
10,Z513244,7602,1,1,1,40,477019960,123858262,0,0,1,7753,,132.50554444444444,34.405072777777775,9140.564633591217,2782.320229039062
11,Z513244,7608,1,1,1,40,477020022,123857433,0,0,1,7759,,132.50556166666667,34.4048425,9140.632561297738,2756.633231131709
12,Z513244,7616,1,1,1,40,477052547,123899629,0,0,0,0,,132.5145963888889,34.41656361111111,10050.07539124426,4009.955248387065
13,Z513244,7749,1,1,1,60,477049299,123872156,0,0,0,0,,132.51369416666665,34.40893222222222,9916.711705131922,3166.7391445346584
14,Z513244,7805,1,2,1,40,477022795,123614570,0,0,0,0,,132.50633194444444,34.337380555555555,8767.160110063036,-4745.236696626991
