,meshcode,zuflg,tnodeno,snodeno,slinkno,susno,stype,ichikeido,ichiido,signx,signy,geometry
559,513253,0,2188,4211,4307,1,0,476859687,123917100,476859662,123917096,
560,513253,0,2189,1433,6793,1,0,476858460,123916033,476858382,123916030,
561,513253,0,2193,2194,6782,1,0,476859728,123925032,476859645,123925197,
562,513253,0,2193,1418,8739,1,0,476859319,123924966,476859645,123925197,
563,513253,0,2195,1422,6784,1,0,476862837,123923532,476862843,123923535,
564,513253,0,2197,1423,6785,1,0,476857151,123919233,476857200,123919327,
565,513253,0,2197,2198,6786,1,0,476856619,123919133,476856385,123918740,
566,513253,0,2198,1433,6792,1,0,476855393,123917333,476855386,123917322,
567,513253,0,2198,6468,9662,1,0,476855311,123917700,476855187,123917662,
568,513253,0,2200,2183,6805,1,0,476851179,123921966,476851217,123922002,
569,513253,0,2201,1433,4302,1,0,476858214,123918300,476858144,123918154,
570,513253,0,2201,6462,5232,1,0,476858542,123918433,476858500,123918471,
571,513253,0,2202,2204,6800,1,0,476847538,123921232,476847469,123921152,
572,513253,0,2203,2202,6790,1,0,476849829,123920433,476849547,123920546,
573,513253,0,2203,111,6791,1,0,476849993,123920167,476850099,123920125,
574,513253,0,2204,2208,6801,1,0,476846393,123919533,476846375,123919502,
575,513253,0,2205,2204,6794,1,0,476848520,123918733,476848453,123918774,
576,513253,0,2205,2206,6795,1,0,476848725,123918333,476848792,123918322,
577,513253,0,2208,2211,6802,1,0,476845084,123917767,476844938,123917553,
578,513253,0,2209,2205,6808,1,0,476847497,123916733,476847541,123916835,
579,513253,0,2211,4205,4298,1,0,476844103,123916533,476843985,123916402,
580,513253,0,2213,5968,9423,1,0,476873840,123950430,476873517,123950297,
581,513253,0,2213,6421,9643,1,0,476873594,123950264,476873517,123950297,
582,513253,0,2221,6047,9453,1,0,476898585,123991394,476898367,123991076,
583,513253,0,2222,6051,9454,1,0,476903576,123988362,476903651,123988797,
584,513253,0,2224,5892,4988,1,0,476930860,123999361,476930922,123999223,
585,513253,0,2224,5052,9065,1,0,476930737,123999794,476930588,124000004,
586,513253,0,2232,5344,9199,1,0,476941904,123992428,476942171,123992493,
587,513253,0,2235,2236,1967,1,0,476914005,124031023,476914049,124031018,
588,513253,0,2239,4385,8790,1,0,476901570,124037389,476901625,124037310,
589,513253,0,2240,1466,8341,1,0,476939407,124072519,476939334,124072514,
590,513253,0,2243,9017,10985,1,0,476958183,124065420,476958267,124065364,
591,513253,0,2244,5507,9261,1,0,476956792,124064654,476956712,124064545,
592,513253,0,2250,6109,9481,1,0,476902101,124054087,476902063,124054094,
593,513253,0,2250,6117,9488,1,0,476901815,124054320,476901823,124054331,
594,513253,0,2259,2263,6829,1,0,476862504,124050787,476862577,124050771,
