,meshcode,linkno,geometry
1161,533936,4739,
1162,533936,4742,
1163,533936,4748,
1164,533936,4751,
1165,533936,4754,
1166,533936,4755,
1167,533936,4758,
1168,533936,4759,
1169,533936,4760,
1170,533936,4761,
1171,533936,4762,
1172,533936,4763,
1173,533936,4764,
1174,533936,4776,
1175,533936,4777,
1176,533936,4784,
1177,533936,4785,
1178,533936,4786,
1179,533936,4788,
1180,533936,4789,
1181,533936,4790,
1182,533936,4791,
1183,533936,4796,
1184,533936,4797,
1185,533936,4798,
1186,533936,4799,
1187,533936,4800,
1188,533936,4801,
1189,533936,4802,
1190,533936,4803,
1191,533936,4808,
1192,533936,4809,
1193,533936,4810,
1194,533936,4811,
1195,533936,4815,
1196,533936,4820,
1197,533936,4823,
1198,533936,4824,
1199,533936,4825,
1200,533936,4831,
1201,533936,4832,
1202,533936,4845,
1203,533936,4846,
1204,533936,4847,
1205,533936,4849,
1206,533936,4850,
1207,533936,4851,
1208,533936,4852,
1209,533936,4853,
1210,533936,4854,
1211,533936,4855,
1212,533936,4856,
1213,533936,4858,
1214,533936,4860,
1215,533936,4861,
1216,533936,4862,
1217,533936,4864,
1218,533936,4865,
1219,533936,4866,
1220,533936,4867,
1221,533936,4868,
1222,533936,4870,
1223,533936,4871,
1224,533936,4872,
1225,533936,4873,
1226,533936,4874,
1227,533936,4875,
1228,533936,4876,
1229,533936,4877,
1230,533936,4878,
1231,533936,4879,
1232,533936,4880,
1233,533936,4881,
1234,533936,4882,
1235,533936,4883,
1236,533936,4884,
1237,533936,4885,
1238,533936,4886,
1239,533936,4887,
1240,533936,4888,
1241,533936,4889,
1242,533936,4890,
1243,533936,4891,
1244,533936,4894,
1245,533936,4895,
1246,533936,4896,
1247,533936,4897,
1248,533936,4902,
1249,533936,4903,
1250,533936,4904,
1251,533936,4905,
1252,533936,4906,
1253,533936,4907,
1254,533936,4908,
1255,533936,4909,
1256,533936,4910,
1257,533936,4911,
1258,533936,4912,
1259,533936,4913,
1260,533936,4914,
1261,533936,4915,
1262,533936,4916,
1263,533936,4917,
1264,533936,4918,
