,meshcode,nodeno,symcode,realx,realy,geometry
1659,533936,6159,712231,503210553,128362199,
1660,533936,6161,719999,503217179,128355500,
1661,533936,6163,719999,503366279,128368469,
1662,533936,6163,710116,503365461,128366535,
1663,533936,6171,719999,503146575,128389961,
1664,533936,6172,719999,503196071,128376730,
1665,533936,6172,711501,503193781,128377397,
1666,533936,6174,710438,503225277,128390363,
1667,533936,6174,710116,503224050,128391429,
1668,533936,6181,719999,503106283,128396359,
1669,533936,6186,719999,503137698,128399993,
1670,533936,6186,711400,503135899,128400026,
1671,533936,6189,719999,503165841,128406426,
1672,533936,6189,710438,503166619,128407960,
1673,533936,6201,719999,503169411,128136893,
1674,533936,6221,719999,503121750,128259442,
1675,533936,6221,710438,503123305,128258509,
1676,533936,6224,719999,503246799,128245981,
1677,533936,6228,719999,503101216,128263674,
1678,533936,6229,719999,503126740,128270974,
1679,533936,6232,719999,503409194,128269815,
1680,533936,6232,710428,503407721,128270815,
1681,533936,6246,719999,503258823,128310806,
1682,533936,6261,719999,503142445,128353465,
1683,533936,6261,712210,503142814,128354265,
1684,533936,6271,719999,503192186,128368231,
1685,533936,6271,710438,503193168,128368031,
1686,533936,6275,719999,503202862,128370198,
1687,533936,6275,710438,503202903,128369265,
1688,533936,6283,719999,503159133,128386662,
1689,533936,6286,719999,503181181,128392395,
1690,533936,6287,711501,503208834,128378397,
1691,533936,6291,719999,503520943,128380072,
1692,533936,6291,710300,503519757,128379405,
1693,533936,6291,710421,503520493,128381438,
1694,533936,6291,710201,503515953,128382172,
1695,533936,6299,719999,503160932,128410692,
1696,533936,6300,710428,503187153,128411560,
1697,533936,6306,719999,503162989,128145358,
1698,533936,6329,719999,503411647,128285546,
1699,533936,6333,719999,503413160,128302844,
1700,533936,6353,719999,503158765,128387095,
1701,533936,6354,719999,503164288,128390761,
1702,533936,6355,719999,503185231,128388595,
1703,533936,6359,719999,503510881,128381537,
1704,533936,6359,710210,503512517,128383037,
1705,533936,6359,710201,503515994,128382172,
1706,533936,6360,719999,503112419,128394326,
1707,533936,6360,710428,503110701,128393693,
