,meshcode,tnodeno,snodeno,enodeno,yssnodeno,ysenodeno,geometry
455,533936,1431,5768,2614,2614,2691,
456,533936,1431,5768,2614,2614,755,
457,533936,1431,5768,2614,1431,1432,
458,533936,1511,3718,3717,1511,4109,
459,533936,1714,5603,6482,1714,1715,
460,533936,1714,5603,6482,6482,5602,
461,533936,2010,2856,6630,6509,2855,
462,533936,2010,2856,6630,6509,3973,
463,533936,2010,2856,6630,6630,6339,
464,533936,2010,6002,2010,2010,6404,
465,533936,2010,6002,2010,6403,4396,
466,533936,2010,6141,2276,2276,4397,
467,533936,2010,6141,2276,6509,2855,
468,533936,2010,6141,2276,6509,3973,
469,533936,2010,6340,6403,6403,4396,
470,533936,2010,6340,6403,6403,6270,
471,533936,2223,4477,2223,2223,5061,
472,533936,2223,4478,2223,2223,4477,
473,533936,2223,5061,2223,2223,5066,
474,533936,2223,5066,2223,2223,4478,
475,533936,2242,2236,2242,4774,5257,
476,533936,2242,2236,2242,2242,4767,
477,533936,2242,2236,2242,4774,4158,
478,533936,2242,3220,2242,2242,2236,
479,533936,2242,3220,2242,2242,4767,
480,533936,2242,3220,2242,4774,4158,
481,533936,2242,4158,4774,2242,4767,
482,533936,2242,4158,4774,2242,2236,
483,533936,2242,4158,4774,4774,5257,
484,533936,2242,5325,4774,4774,5257,
485,533936,2242,5325,4774,4774,4158,
486,533936,2242,5325,4774,2242,2236,
487,533936,2266,6290,5583,2266,3291,
488,533936,2266,6290,5583,5583,2267,
489,533936,2266,6290,5583,5583,191,
490,533936,2266,6601,2266,5583,2267,
491,533936,2266,6601,2266,2266,3291,
492,533936,2266,6601,2266,2266,1151,
493,533936,2294,2293,6665,6665,2497,
494,533936,2294,2293,6665,6696,6023,
495,533936,2294,2293,6665,6633,6166,
496,533936,2294,2498,2294,2294,6514,
497,533936,2294,2498,2294,6665,2497,
498,533936,2294,2498,2294,6696,6023,
499,533936,2294,2873,6696,6696,6023,
500,533936,2294,2873,6696,6633,6166,
501,533936,2294,2873,6696,2294,6514,
502,533936,2294,6279,6633,6633,6166,
503,533936,2294,6279,6633,2294,6514,
504,533936,2294,6279,6633,6665,2497,
505,533936,2342,585,5322,2342,5723,
506,533936,2342,585,5322,5322,5355,
507,533936,2342,585,5322,2342,1443,
508,533936,2342,1443,2342,5322,5355,
509,533936,2342,1443,2342,2342,5723,
510,533936,2342,1443,2342,5322,585,
511,533936,2342,5343,2342,5322,585,
512,533936,2342,5343,2342,2342,1443,
513,533936,2342,5343,2342,2342,5723,
514,533936,2342,5951,5322,2342,1443,
515,533936,2342,5951,5322,5322,585,
516,533936,2342,5951,5322,5322,5355,
517,533936,2345,2468,2345,2345,5705,
518,533936,2345,2468,2345,2345,5084,
519,533936,2345,5705,2345,2345,5084,
520,533936,2391,820,2391,2391,360,
521,533936,2391,820,2391,2391,3797,
522,533936,2391,820,2391,5150,2357,
523,533936,2391,5621,5150,5150,5177,
524,533936,2391,5621,5150,5150,2357,
525,533936,2391,5621,5150,2391,360,
526,533936,2405,5649,5214,5214,5162,
527,533936,2423,1374,2423,2423,1371,
528,533936,2423,1382,2424,2424,4387,
529,533936,2423,1382,2424,2424,4386,
530,533936,2423,4387,2424,2424,4386,
531,533936,2423,4387,2424,2423,1371,
532,533936,2468,2345,2468,2468,3549,
533,533936,2468,2345,2468,2468,3490,
534,533936,2480,567,2480,3577,2481,
535,533936,2480,5204,3577,2480,564,
536,533936,2502,135,2502,2502,1851,
537,533936,2502,1851,2502,2502,1852,
538,533936,2502,1852,2502,2502,5842,
539,533936,2502,5842,2502,2502,135,
540,533936,2506,6607,6481,2506,2539,
541,533936,2514,1638,6408,2514,2667,
542,533936,2514,4943,2514,6408,6274,
543,533936,2551,631,2551,2551,3440,
544,533936,2551,4918,2551,2551,2070,
545,533936,2555,5850,6354,2555,4934,
546,533936,2555,6353,2555,6354,5436,
547,533936,2558,1799,2558,5284,3738,
548,533936,2558,5176,5284,2558,1802,
549,533936,2603,1812,2603,2603,2749,
550,533936,2603,2621,2603,2603,1821,
551,533936,2962,3717,3716,2962,1519,
552,533936,3117,3116,3117,3117,3163,
553,533936,3117,3118,3117,3117,858,
554,533936,3118,3117,3118,3118,165,
555,533936,3372,6669,3372,6639,1249,
556,533936,3372,6669,3372,6639,1250,
557,533936,3456,3524,3457,3457,3527,
558,533936,3456,3524,3457,3456,3037,
559,533936,3456,3526,3456,3456,3037,
560,533936,3456,3526,3456,3456,3454,
561,533936,3456,3526,3456,3456,3524,
562,533936,3456,3526,3456,3457,3075,
563,533936,3463,5680,3463,3463,6098,
564,533936,3467,3798,3471,3467,3466,
565,533936,3467,3798,3471,3471,3465,
566,533936,3467,3798,3471,3468,6710,
567,533936,3467,6079,3469,3468,6710,
568,533936,3467,6491,3470,3471,3798,
569,533936,3467,6710,3468,3467,3465,
570,533936,3467,6710,3468,3471,3798,
571,533936,3467,6710,3468,3468,3466,
572,533936,3483,6230,3483,3483,3874,
573,533936,3483,6230,3483,3483,4356,
574,533936,3526,3457,3527,3527,6034,
575,533936,3526,3457,3527,6667,4906,
576,533936,3526,3457,3527,6721,5828,
577,533936,3526,4901,6721,6721,5828,
578,533936,3526,4901,6721,3526,3456,
579,533936,3526,4901,6721,3527,6034,
580,533936,3526,5826,3526,3526,3456,
581,533936,3526,5826,3526,3527,6034,
582,533936,3526,5826,3526,6667,4906,
583,533936,3526,5829,6667,6667,4906,
584,533936,3526,5829,6667,6721,5828,
585,533936,3526,5829,6667,3526,3456,
586,533936,3529,3531,5366,3529,318,
587,533936,3529,3531,5366,5366,154,
588,533936,3530,3583,5801,5801,5337,
589,533936,3530,4779,5350,5356,3585,
590,533936,3530,4779,5350,5356,3583,
591,533936,3530,5454,5025,5033,4915,
592,533936,3533,3020,3536,3536,4779,
593,533936,3533,4915,3533,3536,3020,
594,533936,3533,4915,3533,3533,3532,
595,533936,3565,3944,3945,3903,3905,
596,533936,3565,3946,3947,3926,4965,
597,533936,3570,3568,6299,3571,2086,
598,533936,3570,4615,3571,6299,6810,
599,533936,3570,4616,3570,6429,757,
600,533936,3570,6367,6429,3570,4617,
601,533936,3619,3620,3619,3619,3621,
602,533936,3619,3620,3619,5821,3622,
603,533936,3619,3620,3619,6171,4841,
604,533936,3619,3984,6030,3619,3621,
605,533936,3619,3984,6171,4854,4017,
606,533936,3619,6417,5821,6171,4841,
607,533936,3619,6417,5821,4854,4017,
608,533936,3619,6417,5821,5821,3622,
609,533936,3624,3629,4921,4921,771,
610,533936,3624,3629,4921,4921,2552,
611,533936,3624,3632,3624,3624,3625,
612,533936,3719,5465,5193,3719,5643,
613,533936,3719,5465,5193,5193,5514,
614,533936,3720,5514,5200,5200,5207,
615,533936,3855,3856,3855,3870,3882,
616,533936,3855,4205,3865,3869,3861,
617,533936,3855,4922,3870,3855,5713,
618,533936,3855,5562,3869,3865,4204,
619,533936,3856,5939,3856,3856,3855,
620,533936,3856,5939,3856,3863,3858,
621,533936,3860,5502,3860,3860,5546,
622,533936,3867,3870,3882,3867,3878,
623,533936,3867,3880,3867,3882,3886,
624,533936,3868,3566,3873,3872,4913,
625,533936,3868,4330,3872,3873,5067,
626,533936,3868,4909,3868,3890,3946,
627,533936,3868,4987,3890,3868,3850,
628,533936,3871,5553,3871,3871,5566,
629,533936,3871,5713,5564,3871,5566,
630,533936,3874,4349,3874,3906,3907,
631,533936,3875,4797,3875,3875,4827,
632,533936,3875,4797,3875,3876,4975,
633,533936,3875,4821,3877,3877,3913,
634,533936,3875,4821,3877,3876,4982,
635,533936,3875,4975,3876,3877,3913,
636,533936,3875,4994,3876,3875,4827,
637,533936,3896,5046,3896,3896,5204,
638,533936,3896,5046,3896,3896,240,
639,533936,3896,5211,3896,3896,3901,
640,533936,3901,3895,3901,3901,3896,
641,533936,3918,3874,3920,3918,4988,
642,533936,4014,3940,4014,4014,4902,
643,533936,4014,3940,4014,4014,4960,
644,533936,4014,4898,4015,4015,3942,
645,533936,4014,4960,4014,4014,4902,
646,533936,4351,4345,4357,4357,4358,
647,533936,4351,4350,4351,4351,5034,
648,533936,4351,5163,4354,4354,4792,
649,533936,4351,5163,4354,4353,4349,
650,533936,4807,155,4807,4807,4184,
651,533936,4807,155,4807,4807,4818,
652,533936,4807,155,4807,5336,5520,
