,Unnamed: 0,meshcode,nodeno,vflg,zuflg,nextflg,zahyocnt,keido1,ido1,keido2,ido2,keido3,ido3,keido4,ido4,keido5,ido5,geometry
82,82,533936,3588,0,0,2,18,139.76855305555554,35.63498666666667,139.7686586111111,35.6349675,139.76876916666666,35.634951666666666,139.7688761111111,35.6349375,139.7689863888889,35.63492611111111,
83,83,533936,3588,0,0,3,18,139.76909388888888,35.63491777777778,139.76926138888888,35.63490916666667,139.76942472222223,35.634906388888886,139.76953583333332,35.63490777777778,139.76964611111111,35.63491055555556,
84,84,533936,3588,0,0,4,18,139.76975611111112,35.63491777777778,139.76986833333333,35.634926666666665,139.76995472222222,35.63493555555556,0.0,0.0,0.0,0.0,
85,85,533936,3592,0,0,1,12,139.75765805555557,35.64457194444444,139.7576575,35.6447975,139.75764916666665,35.6449325,139.7576388888889,35.645024166666666,139.75762472222223,35.645113888888886,
86,86,533936,3592,0,0,2,12,139.7576163888889,35.6451575,139.75760555555556,35.64520111111111,139.75757944444445,35.645291388888886,139.75753444444445,35.64541611111111,139.75750055555557,35.64549888888889,
87,87,533936,3592,0,0,3,12,139.75744166666667,35.64562,139.75737555555557,35.645743055555556,0.0,0.0,0.0,0.0,0.0,0.0,
88,88,533936,3639,0,0,0,4,139.76575166666666,35.665174444444446,139.7656538888889,35.66506416666667,139.7653386111111,35.66469027777778,139.76523527777778,35.664567777777776,0.0,0.0,
89,89,533936,3771,0,0,0,4,139.76102472222223,35.66137527777778,139.7610938888889,35.66146361111111,139.76127305555556,35.66168444444445,139.76135833333333,35.661789166666665,0.0,0.0,
90,90,533936,3958,0,0,0,4,139.84967277777778,35.66928305555555,139.84963972222224,35.66880527777778,139.84960833333332,35.66831027777778,139.84960138888889,35.66815027777778,0.0,0.0,
91,91,533936,3959,0,0,0,5,139.84944277777777,35.668441111111115,139.84944944444445,35.66852277777778,139.84947666666667,35.66889527777778,139.84950111111112,35.66925805555555,139.8495213888889,35.669558333333335,
92,92,533936,4312,0,0,0,4,139.81718222222221,35.645494444444445,139.81708694444444,35.64547638888889,139.81692833333332,35.64544138888889,139.81678888888888,35.64540888888889,0.0,0.0,
93,93,533936,4313,0,0,0,5,139.815925,35.645157222222224,139.81587333333334,35.64513888888889,139.8156161111111,35.64505638888889,139.81541222222222,35.64499027777778,139.81515916666666,35.644909444444444,
94,94,533936,4314,0,0,1,30,139.81049666666667,35.64374888888889,139.81116833333334,35.643969166666665,139.81141027777778,35.64404861111111,139.81155666666666,35.64410361111111,139.81168694444443,35.64415888888889,
95,95,533936,4314,0,0,2,30,139.8117936111111,35.64421083333333,139.8118561111111,35.644244444444446,139.81193444444443,35.644289722222226,139.81202472222222,35.644352222222224,139.81211666666667,35.64442583333334,
96,96,533936,4314,0,0,3,30,139.81218833333332,35.64449444444445,139.81223972222222,35.64454972222222,139.81229916666666,35.64462527777778,139.81232805555555,35.644666666666666,139.8123525,35.644705555555554,
97,97,533936,4314,0,0,4,30,139.81237305555555,35.64474527777778,139.81239416666668,35.64478638888889,139.81241194444445,35.64483,139.8124425,35.64491611111111,139.8124552777778,35.64496027777778,
98,98,533936,4314,0,0,5,30,139.81246777777778,35.64500666666667,139.81247805555554,35.64505027777778,139.81248666666667,35.64509555555556,139.81249916666667,35.64518527777778,139.812505,35.64522861111111,
99,99,533936,4314,0,0,6,30,139.81250944444446,35.645275833333336,139.8125125,35.64531972222222,139.81251472222223,35.64540944444445,139.81251472222223,35.64549944444445,139.81250944444446,35.6455625,
100,100,533936,4315,0,0,1,11,139.80704194444445,35.642626944444444,139.80713083333333,35.642655,139.8072825,35.642705,139.80748833333334,35.64277111111111,139.80769416666666,35.64283833333333,
101,101,533936,4315,0,0,2,11,139.80784722222222,35.64288861111111,139.80805166666667,35.64295444444444,139.8082061111111,35.64300472222222,139.80841138888889,35.64307138888889,139.80861805555554,35.64313861111111,
102,102,533936,4315,0,0,3,11,139.80869944444444,35.643164444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
103,103,533936,5093,0,0,1,13,139.80211138888887,35.640899166666664,139.80221194444445,35.64094166666667,139.80233444444445,35.640991666666665,139.80247166666666,35.64104805555556,139.8025963888889,35.64109805555555,
104,104,533936,5093,0,0,2,13,139.80275416666666,35.64115888888889,139.80289833333333,35.64121388888889,139.80302361111112,35.641261388888886,139.80317861111112,35.64131833333333,139.80332444444446,35.6413725,
105,105,533936,5093,0,0,3,13,139.8034575,35.641419722222224,139.80354444444444,35.64145138888889,139.8036438888889,35.641485277777775,0.0,0.0,0.0,0.0,
106,106,533936,5099,1,0,1,6,139.80310166666666,35.640997222222225,139.80287277777776,35.64091,139.80267083333334,35.64083138888889,139.80246777777776,35.640748611111114,139.80227277777777,35.64066833333333,
107,107,533936,5099,1,0,2,6,139.80210416666668,35.64059666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
