,meshcode,linkno,snodeno,enodeno,day,shour,ehour,sdate,edate,cartype,geometry
474,513244,9569,7817,8013,100000000,0000,2400,0101,1231,0,
475,513244,9571,7821,8015,100000000,0000,2400,0101,1231,0,
476,513244,9576,7829,88,100000000,0000,2400,0101,1231,0,
477,513244,9606,7867,8035,100000000,0000,2400,0101,1231,0,
478,513244,9617,8142,8214,100000000,0000,2400,0101,1231,0,
479,513244,9618,7881,3499,100000000,0000,2400,0101,1231,0,
480,513244,9626,7618,7619,100000000,0000,2400,0101,1231,0,
481,513244,9648,7649,6011,100000000,0000,2400,0101,1231,0,
482,513244,9661,7918,2249,100000000,0700,0830,0101,1231,0,
483,513244,9671,7319,7928,100000000,0000,2400,0101,1231,0,
484,513244,9676,80,360,100000000,0000,2400,0101,1231,0,
485,513244,9685,7689,1413,100000000,0000,2400,0101,1231,0,
486,513244,9688,7695,6924,100000000,0000,2400,0101,1231,0,
487,513244,9755,8337,7790,100000000,0000,2400,0101,1231,0,
488,513244,9757,8188,3507,100000000,0000,2400,0101,1231,0,
489,513244,9774,8015,3120,100000000,0000,2400,0101,1231,0,
490,513244,9778,111,7829,100000000,0000,2400,0101,1231,0,
491,513244,9800,8035,8139,100000000,0000,2400,0101,1231,0,
492,513244,9807,8360,8142,100000000,0000,2400,0101,1231,0,
493,513244,9808,8044,5459,100000000,0000,2400,0101,1231,0,
494,513244,9814,7890,8149,100000000,0000,2400,0101,1231,0,
495,513244,9816,7622,5374,100000000,0000,2400,0101,1231,0,
496,513244,9833,6013,7911,100000000,0000,2400,0101,1231,0,
497,513244,9848,7928,7323,100000000,0000,2400,0101,1231,0,
498,513244,9852,360,7935,100000000,0000,2400,0101,1231,0,
499,513244,9853,7933,8147,100000000,0000,2400,0101,1231,0,
500,513244,9860,3373,7695,100000000,0000,2400,0101,1231,0,
501,513244,9862,7945,7933,100000000,0000,2400,0101,1231,0,
502,513244,9904,7997,8358,100000000,0000,2400,0101,1231,0,
503,513244,9912,8005,8194,100000000,0000,2400,0101,1231,0,
504,513244,9935,8360,8269,100000000,0000,2400,0101,1231,0,
505,513244,9936,3500,8044,100000000,0000,2400,0101,1231,0,
506,513244,9941,5383,7891,100000000,0000,2400,0101,1231,0,
507,513244,9949,7902,7618,100000000,0000,2400,0101,1231,0,
508,513244,9950,8053,8054,100000000,0000,2400,0101,1231,0,
509,513244,9952,8221,8219,100000000,0000,2400,0101,1231,0,
510,513244,9994,8175,8096,100000000,0000,2400,0101,1231,0,
511,513244,10000,8180,8102,100000000,0000,2400,0101,1231,0,
512,513244,10013,8194,8004,100000000,0000,2400,0101,1231,0,
513,513244,10043,8309,8043,100000000,0000,2400,0101,1231,0,
514,513244,10061,8151,186,100000000,0000,2400,0101,1231,0,
515,513244,10063,4914,8221,100000000,0000,2400,0101,1231,0,
516,513244,10064,3003,7912,100000000,0700,0900,0101,1231,0,
517,513244,10085,7944,8165,100000000,0000,2400,0101,1231,0,
518,513244,10104,7977,1965,100000000,0900,1900,0101,1231,0,
519,513244,10109,8108,8373,100000000,0000,2400,0101,1231,0,
520,513244,10124,3105,7998,100000000,0000,2400,0101,1231,0,
521,513244,10139,8339,7880,100000000,0000,2400,0101,1231,0,
522,513244,10144,8049,8146,100000000,0000,2400,0101,1231,0,
523,513244,10151,8222,4908,100000000,0000,2400,0101,1231,0,
524,513244,10152,7912,1870,100000000,0700,0900,0101,1231,0,
525,513244,10167,8283,7955,100000000,0000,2400,0101,1231,0,
526,513244,10173,8097,8089,100000000,0000,2400,0101,1231,0,
527,513244,10179,8322,8243,100000000,0000,2400,0101,1231,0,
528,513244,10181,8187,8106,100000000,0000,2400,0101,1231,0,
529,513244,10191,7998,8107,100000000,0000,2400,0101,1231,0,
530,513244,10207,8149,8053,100000000,0000,2400,0101,1231,0,
531,513244,10208,8217,7618,100000000,0000,2400,0101,1231,0,
532,513244,10211,8219,4899,100000000,0000,2400,0101,1231,0,
533,513244,10212,186,8222,100000000,0000,2400,0101,1231,0,
534,513244,10218,8226,3364,100000000,0000,2400,0101,1231,0,
535,513244,10228,8235,8444,100000000,0000,2400,0101,1231,0,
536,513244,10235,8239,8097,100000000,0000,2400,0101,1231,0,
537,513244,10243,8249,8180,100000000,0000,2400,0101,1231,0,
538,513244,10244,8185,8180,100000000,0000,2400,0101,1231,0,
539,513244,10246,8190,8108,100000000,0000,2400,0101,1231,0,
540,513244,10255,8120,8188,100000000,0000,2400,0101,1231,0,
541,513244,10269,8218,7902,100000000,0000,2400,0101,1231,0,
542,513244,10270,8147,8217,100000000,0000,2400,0101,1231,0,
543,513244,10273,8271,7651,100000000,0000,2400,0101,1231,0,
544,513244,10286,8165,7701,100000000,0000,2400,0101,1231,0,
545,513244,10291,7083,8348,100000000,0000,2400,0101,1231,0,
546,513244,10296,6932,8242,100000000,0000,2400,0101,1231,0,
547,513244,10304,8373,8185,100000000,0000,2400,0101,1231,0,
548,513244,10305,8186,8354,100000000,0000,2400,0101,1231,0,
549,513244,10319,8394,8209,100000000,0000,2400,0101,1231,0,
550,513244,10323,8043,7879,100000000,0000,2400,0101,1231,0,
551,513244,10327,8054,8218,100000000,0000,2400,0101,1231,0,
552,513244,10329,3506,8271,100000000,0000,2400,0101,1231,0,
553,513244,10330,8150,6636,100000000,0000,2400,0101,1231,0,
554,513244,10341,8146,7944,100000000,0000,2400,0101,1231,0,
555,513244,10342,8433,8234,100000000,0000,2400,0101,1231,0,
556,513244,10343,8234,7945,100000000,0000,2400,0101,1231,0,
557,513244,10344,8431,8234,100000000,0000,2400,0101,1231,0,
558,513244,10346,8365,8235,100000000,0000,2400,0101,1231,0,
559,513244,10349,8102,8286,100000000,0000,2400,0101,1231,0,
560,513244,10351,8242,8176,100000000,0000,2400,0101,1231,0,
561,513244,10355,8243,8289,100000000,0000,2400,0101,1231,0,
562,513244,10356,8106,8294,100000000,0000,2400,0101,1231,0,
563,513244,10357,8294,8248,100000000,0000,2400,0101,1231,0,
564,513244,10368,8209,8428,100000000,0000,2400,0101,1231,0,
565,513244,10371,8042,8360,100000000,0000,2400,0101,1231,0,
